baseline,baseline_penalization,alwayshint,alwayshint_penalization,ppo,ppo_penalization
-2.17112,-3.40112,-2.3942000000000005,-9.554200000000002,1.6443199999999998,-2.27238
-2.13922,-3.3592199999999997,-2.6008000000000004,-9.900799999999998,1.85452,-2.2787400000000004
-2.36046,-3.5504599999999993,-2.4022,-9.712200000000001,1.8562800000000002,-2.28574
-2.5295199999999998,-3.71952,-2.3954000000000004,-9.7254,1.8798599999999999,-2.24864
-2.44588,-3.61588,-2.3956,-9.605599999999999,1.8785399999999999,-2.05964
-2.2249199999999996,-3.4449200000000006,-2.4090000000000003,-9.559000000000001,1.87522,-2.0749
-2.0542999999999996,-3.3042999999999996,-2.4093999999999998,-9.5594,1.8735400000000004,-2.0435399999999997
-2.0888799999999996,-3.338879999999999,-2.6186000000000003,-9.7386,1.8631000000000002,-2.0921199999999995
-1.8869599999999997,-3.17696,-2.6186000000000003,-9.4186,1.8625,-2.3011999999999997
-1.6656599999999997,-2.98566,-2.8004000000000002,-9.7404,1.8503,-2.39654
-1.4527599999999996,-2.77276,-2.8292,-9.7292,1.8123399999999998,-2.4191599999999998
-1.46506,-2.795059999999999,-2.8292,-9.5492,1.8154399999999997,-2.43506
-1.23738,-2.5973799999999994,-2.8288000000000006,-9.6188,1.80634,-2.4763
-1.2627,-2.6127,-2.8138,-9.6538,1.8217400000000001,-2.49592
-1.2630999999999997,-2.6131,-2.6294,-9.509400000000001,1.8386799999999999,-2.2324400000000004
-1.2634999999999998,-2.5634999999999994,-2.6296000000000004,-9.4596,1.80946,-2.2721400000000003
-1.3118599999999998,-2.6218600000000003,-2.8142,-9.654200000000001,1.8135800000000004,-2.1941
-1.3114599999999998,-2.5814599999999994,-2.9746000000000006,-9.7746,1.8502200000000002,-2.15312
-1.3107399999999998,-2.5807399999999996,-2.9666,-9.816600000000001,1.69002,-1.9999200000000001
-1.53882,-2.7388199999999996,-3.1268000000000002,-10.1768,1.6910000000000003,-2.06052
-1.53178,-2.731779999999999,-3.1266000000000003,-10.1166,1.6720800000000002,-2.13268
-1.77288,-2.9628799999999997,-2.9240000000000004,-9.814,1.7002800000000002,-2.0458000000000003
-1.6134799999999998,-2.8334799999999998,-3.1462,-9.9762,1.85948,-2.05688
-1.6136799999999996,-2.82368,-3.3418,-10.091800000000001,1.8471199999999999,-2.0654199999999996
-1.8051,-3.0251,-3.375,-10.185,1.79132,-2.0605200000000004
-1.60494,-2.84494,-3.5354,-10.3254,1.7722000000000007,-1.9106800000000004
-1.5732399999999997,-2.8332399999999995,-3.3752,-9.9552,1.7150800000000002,-2.04556
-1.4927599999999999,-2.7227599999999996,-3.1999999999999993,-9.840000000000002,1.6860199999999999,-2.2948800000000005
-1.6723599999999998,-2.8823599999999994,-3.3898,-10.139800000000001,1.6766599999999996,-2.52958
-1.6717600000000001,-2.9117599999999997,-3.405,-10.155,1.64522,-2.55838
-1.4476800000000003,-2.7176799999999997,-3.4282000000000004,-10.2082,1.65332,-2.5222800000000003
-1.45934,-2.71934,-3.246000000000001,-9.946,1.8581999999999996,-2.46402
-1.2995400000000001,-2.52954,-3.0296000000000007,-9.689600000000002,1.86944,-2.48578
-1.5007399999999997,-2.71074,-3.0307999999999997,-9.780800000000001,1.8210400000000002,-2.5261400000000003
-1.29898,-2.5589799999999996,-3.0916,-9.851600000000001,1.8600999999999999,-2.7856000000000005
-1.3102,-2.5801999999999996,-3.0403999999999995,-9.730400000000001,1.63618,-2.8052000000000006
-1.0926999999999998,-2.3627,-3.0404,-9.830400000000001,1.4409800000000001,-2.7639
-1.3121,-2.5620999999999996,-3.0329999999999995,-9.833000000000002,1.4775600000000002,-2.7838400000000005
-1.13142,-2.40142,-2.8227999999999995,-9.6328,1.46696,-2.9286200000000004
-1.32444,-2.57444,-2.6043999999999996,-9.394400000000001,1.4596799999999999,-2.9613400000000007
-1.5573599999999999,-2.78736,-2.4200000000000004,-9.05,1.26918,-3.0245000000000006
-1.5561599999999998,-2.81616,-2.3812,-9.0212,1.2529400000000002,-2.9493000000000005
-1.57574,-2.8057399999999997,-2.1790000000000003,-8.639,1.25354,-2.9664200000000007
-1.5761400000000003,-2.8161400000000003,-2.0108,-8.320799999999998,1.22532,-2.9370800000000004
-1.60784,-2.85784,-1.8050000000000004,-7.9449999999999985,1.24824,-2.7648400000000004
-1.61,-2.94,-1.6456000000000004,-7.805600000000001,1.2402399999999998,-2.77058
-1.61798,-2.91798,-1.6738000000000006,-7.803800000000001,1.201,-2.6137799999999998
-1.7884600000000004,-3.0784600000000006,-1.697,-7.827000000000001,1.16238,-2.62378
-1.78866,-3.08866,-1.8812,-8.0512,1.15638,-2.4359
-1.7782,-3.0982000000000003,-2.0984,-8.2984,1.13026,-2.51892
-1.6081800000000002,-2.9181800000000004,-2.0692000000000004,-8.269200000000001,1.1187,-2.5012600000000003
-1.8002799999999999,-3.1102800000000004,-2.0692,-8.2192,1.1092,-2.5857
